timestamp|max_len|epochs|batch_size|embed_dim|num_filters|kernel_sizes|dense_layer_dims|dropout_rate|loss|loss-0|loss-1|loss-2|loss-3|loss-4|loss-5|loss-6|loss-7|loss-8|loss-9|loss-10|loss-11|loss-12|loss-13|loss-14|loss-15|loss-16|loss-17|loss-18|loss-19|accuracy|accuracy-0|accuracy-1|accuracy-2|accuracy-3|accuracy-4|accuracy-5|accuracy-6|accuracy-7|accuracy-8|accuracy-9|accuracy-10|accuracy-11|accuracy-12|accuracy-13|accuracy-14|accuracy-15|accuracy-16|accuracy-17|accuracy-18|accuracy-19|val_loss|val_loss-0|val_loss-1|val_loss-2|val_loss-3|val_loss-4|val_loss-5|val_loss-6|val_loss-7|val_loss-8|val_loss-9|val_loss-10|val_loss-11|val_loss-12|val_loss-13|val_loss-14|val_loss-15|val_loss-16|val_loss-17|val_loss-18|val_loss-19|val_accuracy|val_accuracy-0|val_accuracy-1|val_accuracy-2|val_accuracy-3|val_accuracy-4|val_accuracy-5|val_accuracy-6|val_accuracy-7|val_accuracy-8|val_accuracy-9|val_accuracy-10|val_accuracy-11|val_accuracy-12|val_accuracy-13|val_accuracy-14|val_accuracy-15|val_accuracy-16|val_accuracy-17|val_accuracy-18|val_accuracy-19|END
210409-005216|50|20|50|50|[16, 16]|[8, 16]|[8]|0.2|loss|0.6102043390274048|0.41766685247421265|0.2745341956615448|0.1699293851852417|0.1055944561958313|0.06996659189462662|0.04842093959450722|0.03867257386445999|0.027413474395871162|0.02247798629105091|0.019216466695070267|0.017053063958883286|0.01705997623503208|0.01824387162923813|0.01798793114721775|0.010833988897502422|0.017807550728321075|0.011304795742034912|0.010991106741130352|0.009217481128871441|accuracy|0.6629557609558105|0.8106735348701477|0.8890898823738098|0.9380044341087341|0.9651405215263367|0.9776648879051208|0.9845532774925232|0.988797664642334|0.9913721084594727|0.9930420517921448|0.9948511123657227|0.99540776014328|0.9942249059677124|0.994781494140625|0.9944336414337158|0.9967297315597534|0.9945727586746216|0.9965906143188477|0.9963818788528442|0.9973559975624084|val_loss|0.5587612986564636|0.4139004349708557|0.3055271506309509|0.23234295845031738|0.16814415156841278|0.34850794076919556|0.20628505945205688|0.1718524992465973|0.308445543050766|0.28883904218673706|0.25362083315849304|0.4015529751777649|0.7457071542739868|0.46617111563682556|0.5016384124755859|0.5367949604988098|0.5361083149909973|0.4669830799102783|0.3496900796890259|0.4037531614303589|val_accuracy|0.7314647436141968|0.8182640075683594|0.8833634853363037|0.9154611229896545|0.9462025165557861|0.8955696225166321|0.943942129611969|0.9556962251663208|0.9276672601699829|0.9394213557243347|0.9471067190170288|0.9199818968772888|0.8594032526016235|0.9195298552513123|0.9186256527900696|0.9154611229896545|0.9104882478713989|0.9272152185440063|0.9466546177864075|0.9452983736991882|END
210409-005252|50|20|50|50|[16, 16]|[8, 16]|[16]|0.2|loss|0.6067066192626953|0.39559924602508545|0.2658500075340271|0.16273705661296844|0.10403308272361755|0.07221748679876328|0.04761034622788429|0.04016429930925369|0.033148523420095444|0.02833542227745056|0.024357663467526436|0.017389699816703796|0.017789168283343315|0.019934270530939102|0.013782180845737457|0.01706763543188572|0.015293915756046772|0.013767181895673275|0.011158643290400505|0.013530135154724121|accuracy|0.6661564111709595|0.8229891657829285|0.8908293843269348|0.9396047592163086|0.9655580520629883|0.9764820337295532|0.9853882789611816|0.9873365163803101|0.9900500774383545|0.9906763434410095|0.9923462271690369|0.9944336414337158|0.9945032000541687|0.9930420517921448|0.9950598478317261|0.9945727586746216|0.995129406452179|0.9950598478317261|0.9961731433868408|0.9959643483161926|val_loss|0.5172139406204224|0.3772828280925751|0.33629411458969116|0.2472095936536789|0.3634031414985657|0.20655354857444763|0.23874431848526|0.2684290409088135|0.3103819489479065|0.2513428330421448|0.29032185673713684|0.28396496176719666|0.4250146746635437|0.3782568573951721|0.31345826387405396|0.4357605278491974|0.3105262219905853|0.3607266843318939|0.372560054063797|0.4658249020576477|val_accuracy|0.7576853632926941|0.8372513651847839|0.8630198836326599|0.9177215099334717|0.8797468543052673|0.9335442781448364|0.9367088675498962|0.9245027303695679|0.9190777540206909|0.9380651116371155|0.9339963793754578|0.9371609687805176|0.9190777540206909|0.9272152185440063|0.9448462724685669|0.9141048789024353|0.9398733973503113|0.9394213557243347|0.9394213557243347|0.9213381409645081|END
210409-005327|50|20|50|50|[16, 16]|[8, 16]|[32]|0.2|loss|0.5853354930877686|0.40447941422462463|0.257344126701355|0.16047659516334534|0.10378086566925049|0.06744828075170517|0.05271192267537117|0.03981145843863487|0.03508875146508217|0.026889899745583534|0.026646584272384644|0.023204738274216652|0.017980845645070076|0.019538631662726402|0.018715403974056244|0.01935003139078617|0.01169682014733553|0.015199733898043633|0.013058288022875786|0.015662526711821556|accuracy|0.6888394355773926|0.8200668096542358|0.8959087133407593|0.9420400857925415|0.9641664624214172|0.9779432415962219|0.9817700982093811|0.9874060750007629|0.9879627227783203|0.9915112853050232|0.9903284311294556|0.9926245212554932|0.994016170501709|0.993668258190155|0.9937378168106079|0.9932507872581482|0.9959643483161926|0.9945032000541687|0.9959643483161926|0.9949206709861755|val_loss|0.48311731219291687|0.3800239562988281|0.25340017676353455|0.2292095124721527|0.3234369456768036|0.15877938270568848|0.22774876654148102|0.26661643385887146|0.2728389799594879|0.20712639391422272|0.3312040865421295|0.42041778564453125|0.49244338274002075|0.6587391495704651|0.32885411381721497|0.28202974796295166|0.4580456018447876|0.31125974655151367|0.5872165560722351|0.43367472290992737|val_accuracy|0.7811934947967529|0.8453887701034546|0.9077757596969604|0.9235985279083252|0.8982821106910706|0.9538878798484802|0.9403254985809326|0.9358047246932983|0.9362567663192749|0.952531635761261|0.9281193614006042|0.9127486348152161|0.9018987417221069|0.8856238722801208|0.9376130104064941|0.9448462724685669|0.9285714030265808|0.9448462724685669|0.9127486348152161|0.9272152185440063|END
210409-005400|50|20|50|50|[16, 16]|[8, 16]|[32, 16]|0.2|loss|0.5888426303863525|0.3953354060649872|0.242289200425148|0.14917287230491638|0.09950239211320877|0.06953132897615433|0.050526831299066544|0.04600439593195915|0.0400228388607502|0.028312968090176582|0.027069779112935066|0.025757933035492897|0.022769391536712646|0.023872487246990204|0.018556643277406693|0.014565926976501942|0.013385789468884468|0.0172345582395792|0.01812272146344185|0.013346702791750431|accuracy|0.6833426356315613|0.8252852559089661|0.9025883674621582|0.9465627670288086|0.9638185501098633|0.9756470918655396|0.9833704233169556|0.9847620129585266|0.986710250377655|0.9904675483703613|0.9906763434410095|0.9919983148574829|0.9928333163261414|0.9911633729934692|0.9939465522766113|0.9947119355201721|0.9958947896957397|0.994016170501709|0.9938769936561584|0.9956860542297363|val_loss|0.5224657654762268|0.4694999158382416|0.26849284768104553|0.24882245063781738|0.27989181876182556|0.21749821305274963|0.36403751373291016|0.3109126091003418|0.39761966466903687|0.26758769154548645|0.4149104058742523|0.30486151576042175|0.6091632843017578|0.28680363297462463|0.4666610658168793|0.3782389760017395|0.5204441547393799|0.36293843388557434|0.24065949022769928|0.3933236300945282|val_accuracy|0.7391501069068909|0.775768518447876|0.8901446461677551|0.9150090217590332|0.9163652658462524|0.9376130104064941|0.8969258666038513|0.9154611229896545|0.8973779678344727|0.9394213557243347|0.9091320037841797|0.9272152185440063|0.8896926045417786|0.9362567663192749|0.9082278609275818|0.9294756054878235|0.9059674739837646|0.9376130104064941|0.9480108618736267|0.9240506291389465|END
210409-005436|50|20|50|50|[16, 32]|[8, 16]|[8]|0.2|loss|0.6075839996337891|0.41197773814201355|0.2611696422100067|0.1581248939037323|0.0943821519613266|0.060726605355739594|0.04149492830038071|0.029026873409748077|0.023713741451501846|0.01818487048149109|0.01737111061811447|0.018157770857214928|0.013307006098330021|0.010512122884392738|0.01146209891885519|0.011304974555969238|0.01007609162479639|0.0054138172417879105|0.009560834616422653|0.009375428780913353|accuracy|0.6688004732131958|0.8148483037948608|0.8955608010292053|0.9414834380149841|0.969176173210144|0.9825354814529419|0.9880322813987732|0.9930420517921448|0.993389904499054|0.995129406452179|0.9947119355201721|0.9940857291221619|0.9957556128501892|0.9966601729393005|0.99652099609375|0.9972863793373108|0.9975647330284119|0.9984692335128784|0.9973559975624084|0.9967297315597534|val_loss|0.6378681063652039|0.4043099582195282|0.2504771947860718|0.2678428292274475|0.28821513056755066|0.16973164677619934|0.26945456862449646|0.40266063809394836|0.24569779634475708|0.31500083208084106|0.3318265378475189|0.4352915287017822|0.2802959382534027|0.580186128616333|0.304165780544281|0.5895740389823914|0.39616888761520386|0.48502469062805176|0.36103034019470215|0.8433220982551575|val_accuracy|0.6577757596969604|0.8200723528862|0.9014466404914856|0.9005424976348877|0.9023508429527283|0.9466546177864075|0.9231464862823486|0.9046112298965454|0.9394213557243347|0.9276672601699829|0.9317359924316406|0.9118444919586182|0.9457504749298096|0.9018987417221069|0.9398733973503113|0.9037070274353027|0.9367088675498962|0.9226943850517273|0.9448462724685669|0.8896926045417786|END
210409-005509|50|20|50|50|[16, 32]|[8, 16]|[16]|0.2|loss|0.5827409625053406|0.38603830337524414|0.2358465939760208|0.14285893738269806|0.08878989517688751|0.05985429137945175|0.04074173793196678|0.027246953919529915|0.02721070870757103|0.025027044117450714|0.016386806964874268|0.018581684678792953|0.017212320119142532|0.015675639733672142|0.015446284785866737|0.014491087757050991|0.01255338080227375|0.015899114310741425|0.013416603207588196|0.012749187648296356|accuracy|0.6941970586776733|0.8279293179512024|0.9051628112792969|0.949624240398407|0.970915675163269|0.9811438918113708|0.9881714582443237|0.991650402545929|0.9917200207710266|0.9923462271690369|0.9953381419181824|0.9948511123657227|0.9948511123657227|0.9944336414337158|0.9949902296066284|0.9955468773841858|0.9963818788528442|0.9950598478317261|0.9960339665412903|0.99652099609375|val_loss|0.47242122888565063|0.420661598443985|0.20661714673042297|0.18964551389217377|0.240134134888649|0.17187315225601196|0.22771908342838287|0.20970866084098816|0.1751513034105301|0.44557374715805054|0.25606200098991394|0.16854718327522278|0.38522738218307495|0.6809623837471008|0.44035711884498596|0.22702336311340332|0.3709961473941803|0.20198926329612732|0.21237210929393768|0.5835961699485779|val_accuracy|0.775768518447876|0.8214285969734192|0.9263110160827637|0.9299276471138|0.9190777540206909|0.9448462724685669|0.9380651116371155|0.9471067190170288|0.9579566121101379|0.9073237180709839|0.9466546177864075|0.9615732431411743|0.9303797483444214|0.8905967473983765|0.9276672601699829|0.95705246925354|0.9367088675498962|0.9624773859977722|0.965641975402832|0.9186256527900696|END
210409-005545|50|20|50|50|[16, 32]|[8, 16]|[32]|0.2|loss|0.5772634744644165|0.36782658100128174|0.22058071196079254|0.12367884814739227|0.0795140191912651|0.05409030243754387|0.03590158373117447|0.029056696221232414|0.03269301354885101|0.025471827015280724|0.022009490057826042|0.01769109070301056|0.01999685727059841|0.013941150158643723|0.012999030761420727|0.010104883462190628|0.013109411112964153|0.009699001908302307|0.014511034823954105|0.012831026688218117|accuracy|0.6946840882301331|0.8388532996177673|0.9117729067802429|0.9551210403442383|0.9721680879592896|0.9825354814529419|0.9881714582443237|0.9897022247314453|0.9889368414878845|0.99192875623703|0.9931811690330505|0.9938769936561584|0.9938769936561584|0.9956164956092834|0.99540776014328|0.9964514374732971|0.9956164956092834|0.996868908405304|0.9957556128501892|0.9961731433868408|val_loss|0.5474628210067749|0.35142895579338074|0.2714071571826935|0.1507004350423813|0.23026545345783234|0.20068614184856415|0.2271493822336197|0.35744762420654297|0.2965732216835022|0.4444649815559387|0.4803369641304016|0.27153611183166504|0.27803510427474976|0.3836493492126465|0.3614814579486847|0.2529612183570862|0.32288658618927|0.329262912273407|0.32557496428489685|0.37465646862983704|val_accuracy|0.7373417615890503|0.8467450141906738|0.8946654796600342|0.9434900283813477|0.9326401352882385|0.9349005222320557|0.940777599811554|0.9132007360458374|0.9294756054878235|0.9032549858093262|0.8960217237472534|0.9416817426681519|0.9443942308425903|0.9240506291389465|0.9339963793754578|0.9566003680229187|0.9380651116371155|0.9376130104064941|0.9367088675498962|0.9380651116371155|END
210409-005619|50|20|50|50|[16, 32]|[8, 16]|[32, 16]|0.2|loss|0.5710358619689941|0.36807167530059814|0.21036002039909363|0.12551532685756683|0.0709015354514122|0.0551002062857151|0.04282812401652336|0.039738308638334274|0.033433813601732254|0.02342260628938675|0.02749813161790371|0.023302974179387093|0.020110195502638817|0.017178351059556007|0.01973746158182621|0.015390736050903797|0.01357132289558649|0.012596555054187775|0.011139263398945332|0.014051465317606926|accuracy|0.7005983591079712|0.8374617099761963|0.917687177658081|0.9537294507026672|0.9751600623130798|0.9813526272773743|0.9855273962020874|0.9865015149116516|0.9888672232627869|0.9909546375274658|0.9900500774383545|0.9915112853050232|0.9931811690330505|0.9948511123657227|0.9929724335670471|0.9942944645881653|0.9955468773841858|0.9957556128501892|0.9972168207168579|0.9949206709861755|val_loss|0.48658567667007446|0.4089430868625641|0.30953389406204224|0.2117983102798462|0.4232726991176605|0.4350447654724121|0.335868239402771|0.33256661891937256|0.3296498656272888|0.414215624332428|0.3591369092464447|0.43311887979507446|0.4217759072780609|0.2627292275428772|0.411043643951416|0.25572943687438965|0.48989635705947876|0.5445834994316101|0.7841043472290039|0.5560752749443054|val_accuracy|0.771699845790863|0.8236889839172363|0.8747739791870117|0.9231464862823486|0.8711573481559753|0.8842676281929016|0.9141048789024353|0.918173611164093|0.918173611164093|0.9208860993385315|0.9154611229896545|0.909584105014801|0.9091320037841797|0.9448462724685669|0.9240506291389465|0.9466546177864075|0.913652777671814|0.9073237180709839|0.8734177350997925|0.9055153727531433|END
210409-005654|50|20|50|50|[32, 32]|[8, 16]|[8]|0.2|loss|0.5743933320045471|0.3716171681880951|0.21676798164844513|0.12747983634471893|0.07147891819477081|0.042815469205379486|0.029098689556121826|0.023674333468079567|0.01977359876036644|0.015486763790249825|0.013753574341535568|0.015988584607839584|0.011459034867584705|0.009885367937386036|0.017673175781965256|0.012213833630084991|0.013658015988767147|0.006829496473073959|0.004965808242559433|0.008655309677124023|accuracy|0.6946145296096802|0.8346089720726013|0.9175480008125305|0.9544252753257751|0.9773169755935669|0.988797664642334|0.9917200207710266|0.9931116104125977|0.99540776014328|0.9961731433868408|0.9960339665412903|0.9955468773841858|0.9970080852508545|0.9977038502693176|0.9945032000541687|0.9962427020072937|0.9958947896957397|0.9978430271148682|0.998608410358429|0.9974255561828613|val_loss|0.4854169487953186|0.3159273564815521|0.28193551301956177|0.22004783153533936|0.3538420498371124|0.25427472591400146|0.12902534008026123|0.2985904812812805|0.2418641448020935|0.19095925986766815|0.26040855050086975|0.37152624130249023|0.22860264778137207|0.30768707394599915|0.27391526103019714|0.23737920820713043|0.405554860830307|0.5249425768852234|0.7099775075912476|0.485320121049881|val_accuracy|0.7608498930931091|0.8756781220436096|0.8928571343421936|0.9217902421951294|0.8860759735107422|0.9317359924316406|0.9669982194900513|0.9272152185440063|0.9457504749298096|0.9561482667922974|0.9471067190170288|0.9308318495750427|0.9575045108795166|0.9471067190170288|0.9489150047302246|0.9552441239356995|0.935352623462677|0.9249547719955444|0.9091320037841797|0.9367088675498962|END
210409-005728|50|20|50|50|[32, 32]|[8, 16]|[16]|0.2|loss|0.5852931141853333|0.36801496148109436|0.21190787851810455|0.12000152468681335|0.06728236377239227|0.04362001642584801|0.0318029448390007|0.031070174649357796|0.02121027186512947|0.021295879036188126|0.01939573511481285|0.011764343827962875|0.0121026411652565|0.01214194018393755|0.011514328420162201|0.009748184122145176|0.010988004505634308|0.009324622340500355|0.01207040622830391|0.011114906519651413|accuracy|0.691552996635437|0.840036153793335|0.9207486510276794|0.9583913087844849|0.9797523021697998|0.9866406917572021|0.9898413419723511|0.9897022247314453|0.9937378168106079|0.993389904499054|0.9937378168106079|0.99652099609375|0.9969384670257568|0.9965906143188477|0.9964514374732971|0.9972168207168579|0.9964514374732971|0.9973559975624084|0.9963122606277466|0.9965906143188477|val_loss|0.5765931010246277|0.3916228115558624|0.29979366064071655|0.21115058660507202|0.3592151403427124|0.4073486328125|0.19982975721359253|0.3538026213645935|0.4522753059864044|0.3049049377441406|0.31748679280281067|0.2841237783432007|0.24564437568187714|0.342061311006546|0.2803495526313782|0.39509519934654236|0.4409564733505249|0.38120442628860474|0.4213363230228424|0.34473755955696106|val_accuracy|0.6989150047302246|0.8358951210975647|0.8856238722801208|0.9276672601699829|0.8892405033111572|0.8933092355728149|0.9484629034996033|0.9199818968772888|0.9055153727531433|0.9362567663192749|0.9349005222320557|0.9466546177864075|0.9529837369918823|0.9380651116371155|0.9516274929046631|0.935352623462677|0.9285714030265808|0.9376130104064941|0.9285714030265808|0.9416817426681519|END
