timestamp|max_len|epochs|batch_size|embed_dim|num_filters|kernel_sizes|dense_layer_dims|dropout_rate|loss|loss-0|loss-1|loss-2|loss-3|loss-4|loss-5|loss-6|loss-7|loss-8|loss-9|loss-10|loss-11|loss-12|loss-13|loss-14|loss-15|loss-16|loss-17|loss-18|loss-19|accuracy|accuracy-0|accuracy-1|accuracy-2|accuracy-3|accuracy-4|accuracy-5|accuracy-6|accuracy-7|accuracy-8|accuracy-9|accuracy-10|accuracy-11|accuracy-12|accuracy-13|accuracy-14|accuracy-15|accuracy-16|accuracy-17|accuracy-18|accuracy-19|val_loss|val_loss-0|val_loss-1|val_loss-2|val_loss-3|val_loss-4|val_loss-5|val_loss-6|val_loss-7|val_loss-8|val_loss-9|val_loss-10|val_loss-11|val_loss-12|val_loss-13|val_loss-14|val_loss-15|val_loss-16|val_loss-17|val_loss-18|val_loss-19|val_accuracy|val_accuracy-0|val_accuracy-1|val_accuracy-2|val_accuracy-3|val_accuracy-4|val_accuracy-5|val_accuracy-6|val_accuracy-7|val_accuracy-8|val_accuracy-9|val_accuracy-10|val_accuracy-11|val_accuracy-12|val_accuracy-13|val_accuracy-14|val_accuracy-15|val_accuracy-16|val_accuracy-17|val_accuracy-18|val_accuracy-19|END
210409-000214|21|20|50|50|[16, 16]|[8, 16]|[8]|0.2|loss|0.5989963412284851|0.4204174876213074|0.259382039308548|0.15371960401535034|0.08800861984491348|0.0547909252345562|0.038475267589092255|0.028030667454004288|0.022200990468263626|0.018623152747750282|0.018175164237618446|0.015117591246962547|0.017254101112484932|0.013876945711672306|0.010255029425024986|0.009099461138248444|0.009438583627343178|0.011331398040056229|0.015783492475748062|0.00858350284397602|accuracy|0.6800028085708618|0.8077511787414551|0.898135244846344|0.9444057941436768|0.9709852337837219|0.9825354814529419|0.9883801937103271|0.9908850789070129|0.9937378168106079|0.9943640232086182|0.9945032000541687|0.9954773187637329|0.9943640232086182|0.995129406452179|0.9961731433868408|0.9972168207168579|0.9967993497848511|0.9958252310752869|0.9947119355201721|0.9970080852508545|val_loss|0.674976646900177|0.33186545968055725|0.28717073798179626|0.1977015733718872|0.2511850595474243|0.29575029015541077|0.22879444062709808|0.32722920179367065|0.3053648769855499|0.19954046607017517|0.3623340129852295|0.33890068531036377|0.4444003403186798|0.28058329224586487|0.40320128202438354|0.3728170692920685|0.3146449327468872|0.5269894599914551|0.3145563006401062|0.6124134063720703|val_accuracy|0.6107594966888428|0.8580470085144043|0.8797468543052673|0.926763117313385|0.9113923907279968|0.9055153727531433|0.9294756054878235|0.9109403491020203|0.9272152185440063|0.9529837369918823|0.9231464862823486|0.9235985279083252|0.9122965931892395|0.940777599811554|0.9199818968772888|0.9330922365188599|0.9480108618736267|0.9005424976348877|0.938517153263092|0.8996383547782898|END
210409-000249|21|20|50|50|[16, 16]|[8, 16]|[16]|0.2|loss|0.5997570753097534|0.42251792550086975|0.2744140028953552|0.1601172536611557|0.09640002995729446|0.06512672454118729|0.045409590005874634|0.0321490652859211|0.026823246851563454|0.020408419892191887|0.021189279854297638|0.016539907082915306|0.0175627414137125|0.020886046811938286|0.014434736222028732|0.014489407651126385|0.013065092265605927|0.012223892845213413|0.012271576561033726|0.010814414359629154|accuracy|0.6738101840019226|0.8070554137229919|0.8885332345962524|0.9412747025489807|0.9668800234794617|0.9794739484786987|0.9851795434951782|0.9900500774383545|0.9909546375274658|0.9935290813446045|0.9928333163261414|0.9949206709861755|0.9939465522766113|0.9926941394805908|0.9957556128501892|0.9956164956092834|0.9956164956092834|0.9956860542297363|0.9951990246772766|0.9964514374732971|val_loss|0.5583808422088623|0.43797433376312256|0.4005308151245117|0.33097657561302185|0.4018041789531708|0.3719835877418518|0.26639944314956665|0.16423293948173523|0.30407795310020447|0.45329350233078003|0.6310768127441406|0.3859725892543793|0.3632813096046448|0.35904771089553833|0.4050346910953522|0.44988900423049927|0.5304842591285706|0.8066906929016113|0.4161413908004761|0.40136462450027466|val_accuracy|0.7169982194900513|0.7970162630081177|0.8386076092720032|0.873869776725769|0.8612115979194641|0.8824593424797058|0.9245027303695679|0.9566003680229187|0.9249547719955444|0.9005424976348877|0.8725135326385498|0.9231464862823486|0.9312838912010193|0.9254068732261658|0.9208860993385315|0.913652777671814|0.905063271522522|0.8702531456947327|0.9272152185440063|0.9403254985809326|END
210409-000323|21|20|50|50|[16, 16]|[8, 16]|[32]|0.2|loss|0.5945568084716797|0.42035946249961853|0.2626304626464844|0.15211112797260284|0.09138300269842148|0.05300944671034813|0.040337178856134415|0.028095129877328873|0.019963158294558525|0.023085394874215126|0.017864597961306572|0.019257081672549248|0.01787908934056759|0.016258059069514275|0.01169953215867281|0.017864620313048363|0.011624005623161793|0.010852515697479248|0.012827318161725998|0.011554271914064884|accuracy|0.6805593967437744|0.8074728846549988|0.8930559158325195|0.9446840882301331|0.9687587022781372|0.9813526272773743|0.9858753085136414|0.9907459020614624|0.9938073754310608|0.9920679330825806|0.9945032000541687|0.9940857291221619|0.9931116104125977|0.9949206709861755|0.9960339665412903|0.9944336414337158|0.9961731433868408|0.9961731433868408|0.9951990246772766|0.9962427020072937|val_loss|0.5605856776237488|0.5070106387138367|0.2976122498512268|0.24737708270549774|0.23006846010684967|0.2467227280139923|0.3074948489665985|0.29393690824508667|0.37268975377082825|0.5617157816886902|0.3519459664821625|0.4967571794986725|0.435470849275589|0.4237788915634155|0.5157727003097534|0.34446898102760315|0.4882042706012726|0.394718736410141|0.3602198362350464|0.45239588618278503|val_accuracy|0.7201627492904663|0.7766727209091187|0.8824593424797058|0.9055153727531433|0.9195298552513123|0.9249547719955444|0.9172694683074951|0.926763117313385|0.9150090217590332|0.8833634853363037|0.9217902421951294|0.9014466404914856|0.9213381409645081|0.9195298552513123|0.9064195156097412|0.9371609687805176|0.918173611164093|0.9344484806060791|0.9290235042572021|0.9222423434257507|END
210409-000356|21|20|50|50|[16, 16]|[8, 16]|[32, 16]|0.2|loss|0.5959769487380981|0.4098404347896576|0.25477299094200134|0.15041935443878174|0.08922266960144043|0.07334262132644653|0.049138572067022324|0.0407891571521759|0.03266623243689537|0.029472140595316887|0.02499883808195591|0.02361641265451908|0.02052546851336956|0.018509946763515472|0.01697571575641632|0.01763119176030159|0.0145192826166749|0.015442470088601112|0.0157307256013155|0.01739373430609703|accuracy|0.6758975982666016|0.8169357180595398|0.8975785970687866|0.9444753527641296|0.9671583771705627|0.9729334712028503|0.9823963046073914|0.9856665730476379|0.9886584877967834|0.9899805188179016|0.9917895793914795|0.9927636981010437|0.9924854040145874|0.9935986399650574|0.9940857291221619|0.9946423768997192|0.9945032000541687|0.9945727586746216|0.9945727586746216|0.9946423768997192|val_loss|0.4853317439556122|0.5273793935775757|0.24403157830238342|0.18435588479042053|0.35269463062286377|0.22633567452430725|0.3790105879306793|0.45732390880584717|0.28663262724876404|0.4025493860244751|0.42213761806488037|0.5863678455352783|0.3795703053474426|0.490342378616333|0.3125472664833069|0.4000941812992096|0.7508760690689087|0.7281786799430847|0.4832633435726166|0.49732133746147156|val_accuracy|0.7879746556282043|0.7509041428565979|0.9032549858093262|0.9303797483444214|0.8955696225166321|0.9312838912010193|0.9077757596969604|0.8991862535476685|0.9330922365188599|0.9100361466407776|0.9208860993385315|0.900994598865509|0.9168173670768738|0.8982821106910706|0.9457504749298096|0.9254068732261658|0.8838155269622803|0.8829113841056824|0.9104882478713989|0.9082278609275818|END
210409-000430|21|20|50|50|[16, 32]|[8, 16]|[8]|0.2|loss|0.5967591404914856|0.4060770273208618|0.2622239887714386|0.14999127388000488|0.08846388012170792|0.04824947938323021|0.0318521223962307|0.02246466651558876|0.01625758409500122|0.014590193517506123|0.012448114342987537|0.013211322948336601|0.012133464217185974|0.009123407304286957|0.013322167098522186|0.016379324719309807|0.01072112936526537|0.009916607290506363|0.0074086603708565235|0.01017966028302908|accuracy|0.6779849529266357|0.8205538392066956|0.896395742893219|0.9468410611152649|0.9701502919197083|0.986710250377655|0.9909546375274658|0.9940857291221619|0.9955468773841858|0.9958947896957397|0.9970080852508545|0.9958252310752869|0.9964514374732971|0.9972863793373108|0.99540776014328|0.994016170501709|0.9959643483161926|0.9967297315597534|0.9977734684944153|0.9963122606277466|val_loss|0.5868062973022461|0.2962433993816376|0.2516329288482666|0.2277345061302185|0.2685554623603821|0.2574559450149536|0.3472962975502014|0.37738481163978577|0.38827162981033325|0.32209426164627075|0.298971027135849|0.3033083975315094|0.1731068342924118|0.31797271966934204|0.33542150259017944|0.29228803515434265|0.38363417983055115|0.5741274952888489|0.5581348538398743|0.267678827047348|val_accuracy|0.6975587606430054|0.8725135326385498|0.905063271522522|0.9150090217590332|0.9127486348152161|0.9213381409645081|0.9150090217590332|0.909584105014801|0.9163652658462524|0.935352623462677|0.9430379867553711|0.943942129611969|0.9647377729415894|0.9416817426681519|0.9471067190170288|0.9484629034996033|0.9394213557243347|0.9127486348152161|0.9222423434257507|0.9534357786178589|END
210409-000505|21|20|50|50|[16, 32]|[8, 16]|[16]|0.2|loss|0.5775273442268372|0.382057785987854|0.22444702684879303|0.11914294958114624|0.06616590172052383|0.0448550209403038|0.030650543048977852|0.024344922974705696|0.0195842944085598|0.01658092439174652|0.013904577121138573|0.012478377670049667|0.013274118304252625|0.015173482708632946|0.01067553274333477|0.008589444682002068|0.006355762016028166|0.010473528876900673|0.012891414575278759|0.012373835779726505|accuracy|0.6948232650756836|0.8293904662132263|0.9125382900238037|0.9588783979415894|0.9780823588371277|0.985318660736084|0.9907459020614624|0.9914416670799255|0.9942944645881653|0.9944336414337158|0.9956860542297363|0.9959643483161926|0.9951990246772766|0.9945032000541687|0.9960339665412903|0.9974255561828613|0.9978430271148682|0.99652099609375|0.9949206709861755|0.9956860542297363|val_loss|0.44425806403160095|0.3395376205444336|0.2513515055179596|0.3439786732196808|0.25409549474716187|0.32628676295280457|0.24968765676021576|0.37843015789985657|0.4689072370529175|0.44422411918640137|0.4487324357032776|0.2889273464679718|0.5191226005554199|0.32382237911224365|0.3939571678638458|0.5425444841384888|0.6805511116981506|0.5868847370147705|0.5508754253387451|0.37830811738967896|val_accuracy|0.7947558760643005|0.8566907644271851|0.9082278609275818|0.8901446461677551|0.9235985279083252|0.9159132242202759|0.9380651116371155|0.9163652658462524|0.9023508429527283|0.9122965931892395|0.9263110160827637|0.9457504749298096|0.9068716168403625|0.940777599811554|0.9457504749298096|0.9172694683074951|0.9091320037841797|0.9163652658462524|0.9150090217590332|0.9403254985809326|END
210409-000538|21|20|50|50|[16, 32]|[8, 16]|[32]|0.2|loss|0.5767737627029419|0.3752171993255615|0.21214784681797028|0.1103033497929573|0.06407609581947327|0.03778946399688721|0.028587158769369125|0.01986355148255825|0.021154772490262985|0.020919086411595345|0.019435850903391838|0.017853688448667526|0.013058474287390709|0.015179482288658619|0.01346094161272049|0.010551396757364273|0.013656340539455414|0.011237222701311111|0.00966757070273161|0.007510148920118809|accuracy|0.695379912853241|0.8362092971801758|0.9173392653465271|0.9616615772247314|0.9770386815071106|0.9874060750007629|0.9903979897499084|0.9941552877426147|0.9920679330825806|0.9924157857894897|0.9926941394805908|0.993668258190155|0.9954773187637329|0.994781494140625|0.9952685832977295|0.9966601729393005|0.9956860542297363|0.9960339665412903|0.9963818788528442|0.9977038502693176|val_loss|0.5600095391273499|0.3379414677619934|0.28885188698768616|0.2780441641807556|0.14654289186000824|0.2104196399450302|0.24970558285713196|0.27038702368736267|0.33229267597198486|0.4405081868171692|0.1605863869190216|0.6569746136665344|0.40628916025161743|0.44571834802627563|0.44907841086387634|0.5456494688987732|0.4954732358455658|0.34089839458465576|0.6295592784881592|0.6385753750801086|val_accuracy|0.711121141910553|0.8521699905395508|0.8815551400184631|0.8978300094604492|0.9511753916740417|0.9416817426681519|0.9330922365188599|0.935352623462677|0.9235985279083252|0.9014466404914856|0.95705246925354|0.8765822649002075|0.9308318495750427|0.9104882478713989|0.9249547719955444|0.9082278609275818|0.9118444919586182|0.935352623462677|0.9091320037841797|0.8978300094604492|END
210409-000611|21|20|50|50|[16, 32]|[8, 16]|[32, 16]|0.2|loss|0.5851320624351501|0.3939722776412964|0.2320258617401123|0.13275551795959473|0.0759023129940033|0.05404190346598625|0.03954838961362839|0.02868945524096489|0.023208733648061752|0.027779066935181618|0.022780215367674828|0.027012500911951065|0.020867733284831047|0.013773112557828426|0.016695452854037285|0.01460394449532032|0.016809338703751564|0.01336420327425003|0.010839763097465038|0.011325614526867867|accuracy|0.692179262638092|0.8286947011947632|0.9098942279815674|0.951990008354187|0.9732813835144043|0.9806568622589111|0.9854578375816345|0.9902588129043579|0.9914416670799255|0.9907459020614624|0.9917200207710266|0.990537166595459|0.992276668548584|0.9951990246772766|0.994016170501709|0.9951990246772766|0.9941552877426147|0.9956860542297363|0.996868908405304|0.9966601729393005|val_loss|0.6319592595100403|0.3216382563114166|0.37277984619140625|0.26457613706588745|0.5846240520477295|0.18776600062847137|0.4103139340877533|0.25323617458343506|0.2629098892211914|0.18907733261585236|0.30740001797676086|0.4050256013870239|0.5129997730255127|0.39977172017097473|0.44864359498023987|0.5107545256614685|0.648739755153656|0.33864128589630127|0.45043885707855225|0.6588127017021179|val_accuracy|0.6672694683074951|0.8598553538322449|0.8386076092720032|0.9113923907279968|0.8277576565742493|0.9380651116371155|0.9055153727531433|0.9349005222320557|0.9303797483444214|0.9529837369918823|0.9308318495750427|0.9159132242202759|0.9032549858093262|0.9281193614006042|0.9163652658462524|0.8955696225166321|0.8842676281929016|0.9376130104064941|0.9168173670768738|0.8874322175979614|END
210409-000645|21|20|50|50|[32, 32]|[8, 16]|[8]|0.2|loss|0.5811062455177307|0.3934001922607422|0.2331022322177887|0.12428954988718033|0.06540852040052414|0.034829676151275635|0.025690769776701927|0.01900499500334263|0.018525738269090652|0.01350382436066866|0.011396761052310467|0.008585812523961067|0.007957899011671543|0.011914711445569992|0.01052121352404356|0.01078286487609148|0.010481514967978|0.009213524870574474|0.005208808928728104|0.005222242325544357|accuracy|0.6897439360618591|0.8243807554244995|0.9067631363868713|0.9564430713653564|0.9789173603057861|0.9897717833518982|0.9926245212554932|0.9948511123657227|0.9945727586746216|0.9956860542297363|0.9961731433868408|0.9975647330284119|0.9977734684944153|0.9956860542297363|0.99652099609375|0.9972168207168579|0.9963122606277466|0.9969384670257568|0.9983300566673279|0.9980517625808716|val_loss|0.6000615358352661|0.45890527963638306|0.27152538299560547|0.36925557255744934|0.22640098631381989|0.3555186688899994|0.6489379405975342|0.2763556241989136|0.42346644401550293|0.2896912693977356|0.30394086241722107|0.30501604080200195|0.40560320019721985|0.5651653409004211|0.4304693639278412|0.3338736593723297|0.49690619111061096|0.4160590171813965|0.3090129494667053|0.309720903635025|val_accuracy|0.6763110160827637|0.784358024597168|0.8892405033111572|0.8661844730377197|0.9258589744567871|0.8987341523170471|0.8331826329231262|0.9358047246932983|0.9073237180709839|0.9367088675498962|0.9380651116371155|0.9398733973503113|0.9263110160827637|0.9018987417221069|0.9254068732261658|0.9425858855247498|0.9154611229896545|0.9249547719955444|0.9507233500480652|0.9466546177864075|END
210409-000721|21|20|50|50|[32, 32]|[8, 16]|[16]|0.2|loss|0.5654032230377197|0.36919358372688293|0.2044840306043625|0.10113076120615005|0.05768947675824165|0.036218512803316116|0.025822713971138|0.018793104216456413|0.014467121101915836|0.01640452817082405|0.017915239557623863|0.014869552105665207|0.01869562827050686|0.01029184926301241|0.01118450053036213|0.014571277424693108|0.012599494308233261|0.007716923486441374|0.007187965791672468|0.007021739613264799|accuracy|0.7032424211502075|0.8359310030937195|0.9223490357398987|0.9647230505943298|0.9810047149658203|0.9876843690872192|0.9913721084594727|0.9931811690330505|0.99540776014328|0.9951990246772766|0.9942944645881653|0.9949206709861755|0.9935290813446045|0.9967297315597534|0.9958947896957397|0.9952685832977295|0.9954773187637329|0.9972863793373108|0.9974255561828613|0.9973559975624084|val_loss|0.457846075296402|0.3028659224510193|0.2755933403968811|0.27255621552467346|0.36101460456848145|0.24507656693458557|0.22068551182746887|0.42784932255744934|0.3950701355934143|0.3266313970088959|0.3909032344818115|0.33942097425460815|0.5409325957298279|0.4846751093864441|0.27901268005371094|0.5642681121826172|0.4098725914955139|0.40611666440963745|0.715353786945343|0.45786839723587036|val_accuracy|0.7943037748336792|0.8765822649002075|0.8987341523170471|0.9077757596969604|0.8955696225166321|0.9326401352882385|0.9421338438987732|0.9100361466407776|0.9208860993385315|0.9358047246932983|0.9226943850517273|0.9317359924316406|0.9005424976348877|0.9186256527900696|0.952531635761261|0.9104882478713989|0.932188093662262|0.9349005222320557|0.8896926045417786|0.9335442781448364|END
